C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,23:15:37,0000000307971242,P5MIN,0000000307971239
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 23:20:00","2019/05/16 23:20:00",0,2562661211.4980,0,0,0,0,0,266.939,,,,,0,0,0,0,"2019/05/16 23:15:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BLOWERNG,"2019/05/16 23:50:00",0.44,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BLOWERNG,"2019/05/16 23:55:00",0.33,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BLOWERNG,"2019/05/17 00:00:00",0.32,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BOCORWF1,"2019/05/16 23:50:00",0.44,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BOCORWF1,"2019/05/16 23:55:00",0.33,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BOCORWF1,"2019/05/17 00:00:00",0.32,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BROKENH1,"2019/05/16 23:50:00",5.26,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BROKENH1,"2019/05/16 23:55:00",3.96,1,"2019/05/16 23:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:20:00",BROKENH1,"2019/05/17 00:00:00",3.79,1,"2019/05/16 23:15:25"
