C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,18:15:36,0000000307963161,P5MIN,0000000307963158
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 18:20:00","2019/05/16 18:20:00",0,-308523006.6070,0,0,0,0,0,0,,,,,0,0,0,0,"2019/05/16 18:15:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:20:00",-30.9,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:25:00",-23.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:30:00",-17.66,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:35:00",-16.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:40:00",-15.93,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:45:00",-15.39,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:50:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 18:55:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 19:00:00",-15.07,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 19:05:00",-12.85,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 19:10:00",-12.61,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",GORDON,"2019/05/16 19:15:00",-12.15,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:20:00",-30.9,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:25:00",-23.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:30:00",-17.66,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:35:00",-16.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:40:00",-15.93,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:45:00",-15.39,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:50:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 18:55:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 19:00:00",-15.07,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 19:05:00",-12.85,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 19:10:00",-12.61,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LI_WY_CA,"2019/05/16 19:15:00",-12.15,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:20:00",-30.9,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:25:00",-23.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:30:00",-17.66,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:35:00",-16.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:40:00",-15.93,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:45:00",-15.39,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:50:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 18:55:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 19:00:00",-15.07,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 19:05:00",-12.85,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 19:10:00",-12.61,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",LK_ECHO,"2019/05/16 19:15:00",-12.15,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:20:00",-30.9,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:25:00",-23.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:30:00",-17.66,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:35:00",-16.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:40:00",-15.93,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:45:00",-15.39,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:50:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 18:55:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 19:00:00",-15.07,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 19:05:00",-12.85,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 19:10:00",-12.61,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",MEADOWBK,"2019/05/16 19:15:00",-12.15,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:20:00",-30.9,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:25:00",-23.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:30:00",-17.66,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:35:00",-16.22,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:40:00",-15.93,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:45:00",-15.39,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:50:00",-15.32,2,"2019/05/16 18:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:20:00",TARRALEA,"2019/05/16 18:55:00",-15.32,2,"2019/05/16 18:15:25"
