C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,18:50:35,0000000307964196,P5MIN,0000000307964193
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 18:55:00","2019/05/16 18:55:00",0,-273322961.8610,0,0,0,0,0,0,,,,,0,0,0,0,"2019/05/16 18:50:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 18:55:00",-7.53,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:00:00",-8.62,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:05:00",-14.11,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:10:00",-12.85,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:15:00",-12.85,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:20:00",-12.85,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:25:00",-12.61,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:30:00",-8.4,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:35:00",-12.85,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:40:00",-12.61,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:45:00",-12.61,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",GORDON,"2019/05/16 19:50:00",-12.68,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",LI_WY_CA,"2019/05/16 18:55:00",-7.53,2,"2019/05/16 18:50:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 18:55:00",LI_WY_CA,"2019/05/16 19:00:00",-8.62,2,"2019/05/16 18:50:25"
