C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,17:20:35,0000000307961460,P5MIN,0000000307961457
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 17:25:00","2019/05/16 17:25:00",0,-299764643.18,0,0,0,0,0,0,,,,,0,0,0,0,"2019/05/16 17:20:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 17:50:00",-3.82,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 17:55:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 18:00:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 18:05:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 18:10:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 18:15:00",-18.57,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",GORDON,"2019/05/16 18:20:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 17:50:00",-3.82,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 17:55:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 18:00:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 18:05:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 18:10:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 18:15:00",-18.57,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LI_WY_CA,"2019/05/16 18:20:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 17:50:00",-3.82,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 17:55:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 18:00:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 18:05:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 18:10:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 18:15:00",-18.57,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",LK_ECHO,"2019/05/16 18:20:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 17:50:00",-3.82,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 17:55:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 18:00:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 18:05:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 18:10:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 18:15:00",-18.57,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",MEADOWBK,"2019/05/16 18:20:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 17:50:00",-3.82,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 17:55:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 18:00:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 18:05:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 18:10:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 18:15:00",-18.57,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TARRALEA,"2019/05/16 18:20:00",-18.93,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TUNGATIN,"2019/05/16 17:50:00",-3.82,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TUNGATIN,"2019/05/16 17:55:00",-19.27,2,"2019/05/16 17:20:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 17:25:00",TUNGATIN,"2019/05/16 18:00:00",-19.27,2,"2019/05/16 17:20:25"
