C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2019/07/04,11:25:08,0000000309915971,TRADINGIS,0000000309915971
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2019/07/04 11:30:00",1,N-Q-MNSP1,23,-54.67,-54.33,2.06,"2019/07/04 11:25:03"
D,TRADING,INTERCONNECTORRES,2,"2019/07/04 11:30:00",1,NSW1-QLD1,23,-599.25,-586.81,29.7,"2019/07/04 11:25:03"
D,TRADING,INTERCONNECTORRES,2,"2019/07/04 11:30:00",1,T-V-MNSP1,23,87.13,95.87,0.58,"2019/07/04 11:25:03"
D,TRADING,INTERCONNECTORRES,2,"2019/07/04 11:30:00",1,V-S-MNSP1,23,8.51,10.5,-1.01,"2019/07/04 11:25:03"
D,TRADING,INTERCONNECTORRES,2,"2019/07/04 11:30:00",1,V-SA,23,-320.2,-324.33,14.1,"2019/07/04 11:25:03"
D,TRADING,INTERCONNECTORRES,2,"2019/07/04 11:30:00",1,VIC1-NSW1,23,-164.8,-186.02,5.2,"2019/07/04 11:25:03"
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/07/04 11:30:00",1,VIC1,23,84.24,0,0,"2019/07/04 11:25:03",84.24,1.2,1.2,0.9,0.9,0.52,0.52,16.66,16.66,0.01,0.01,0.04,0.04,0.19,0.19,11,11,FIRM
D,TRADING,PRICE,2,"2019/07/04 11:30:00",1,QLD1,23,57.36,0,0,"2019/07/04 11:25:03",57.36,1.2,1.2,0.9,0.9,0.52,0.52,16.66,16.66,0.01,0.01,0.04,0.04,0.19,0.19,11,11,FIRM
D,TRADING,PRICE,2,"2019/07/04 11:30:00",1,NSW1,23,64.02,0,0,"2019/07/04 11:25:03",64.02,1.2,1.2,0.9,0.9,0.52,0.52,16.66,16.66,0.01,0.01,0.04,0.04,0.19,0.19,11,11,FIRM
D,TRADING,PRICE,2,"2019/07/04 11:30:00",1,SA1,23,76.77,0,0,"2019/07/04 11:25:03",76.77,1.2,1.2,0.9,0.9,0.52,0.52,16.66,16.66,0.01,0.01,0.04,0.04,0.19,0.19,11,11,FIRM
